sap_princ;nom_idocs;nom_welcome
12710;LELEU ET CIE;LELEU ARTOIS / GARAGE DE L'ETOILE / LELEU ET CIE / LELEU V.I. / S.A.R.L. ADS DEPANNAGE ROIGLISE
12754;FAURIE AUVERGNE SAS;FAURIE AUVERGNE SAS / FAURIE CANTAL / FAURIE MOULINS
12788;CATALOGNE POIDS LOURDS;CATALOGNE POIDS LOURDS
128448;OK TRUCKS CENTER FRANCE;
12863;TRUCK SOLUTIONS VALENCE;
12864;DECARRE SAVOIE SAS;GARAGE DUISIT / DECARRE SAVOIE SAS
12896;;REGIE AUTONOME DES TRANSPORTS PARIS
12932;REDELE;REDELE / SOVIS. / MARTENAT / MARTENAT S.A. / DIEPPE POIDS LOURDS / DECHARENTON
12941;MELUN POIDS LOURDS;MELUN POIDS LOURDS
12951;SOCIETE DU POIDS LOURD PARIS;SOCIETE DU POIDS LOURD PARIS
12983;GLOBAL BUS;GLOBAL BUS
13005;SPL HAUTE PICARDIE;SPL HAUTE PICARDIE
13032;;SAS ME.VA.VI
13101;;HAMEL POIDS LOURDS
13114;BOURLIER BELFORT;BOURLIER VESOUL / BOURLIER BELFORT
13225;LE POIDS LOURD 95;LE POIDS LOURD 95 / LE POIDS LOURD 60 - ETABLISSEMENTS CHARPENTIER / GUICHARD VEHICULES INDUSTRIELS / GUICHARD VI / GUICHARD V.I. / GARAGE CEMAVI
13235;GUYANE AUTO PRO;
140025;GLOBAL BUS;GLOBAL BUS
157200;;COVI ARDENNES
161039;;Yanmar France
184321;;ICS PROCUREMENT SOLUTIONS S.A.M.
184482;;Tradex France
195899;;ARQUUS / 68 e régiment d'Artillerie d'Afrique / 1er REG - 1er régiment étranger de génie / ECM -  5e régiment d'hélicoptères de combat (5RHC) / 126°REGIMENT D'INFANTERIE / ARQUUS - Guyancourt
200986;KERTRUCKS BREST;KERTRUCKS BREST / KERTRUCKS QUIMPER
200987;KERTRUCKS MINIAC MORVAN / KERTRUCKS SAINT BRIEUC;KERTRUCKS SAINT BRIEUC
218552;CAR & BUS DROME ARDECHE;CAR & BUS DROME ARDECHE
2273;;ARCELOR FCS COM
24152;BERNIS TRUCKS LIMOGES;BERNIS TRUCKS LIMOGES / BERNIS TRUCKS POITIERS
24153;;KERTRUCKS MORBIHAN SAS / KERTRUCKS SAS
24480;;FRAIKIN SAS / SA FRAIKIN LOCATION / FRAIKIN
24481;GARAGE SOLIGNAC SARL;GARAGE SOLIGNAC SARL
245703;BERTHIER TRUCKS DIJON;BERTHIER TRUCKS DIJON
24618;MARTENAT BRETAGNE;MARTENAT BRETAGNE
246446;AZUR TRUCKS CAR ET BUS VILLENEUVE-LOUBET;AZUR TRUCKS CAR ET BUS VILLENEUVE-LOUBET
246810;BERTHIER TRUCKS BESANCON;BERTHIER TRUCKS BESANCON
24785;BERNARD TRUCKS ANNECY;BERNARD TRUCKS ANNECY
24787;BERNARD TRUCKS VILLEFRANCHE;BERNARD TRUCKS VILLEFRANCHE
248217;;ALSACE VEHICULES INDUSTRIELS 67
